iter	Passed	Remaining
0	3	301
1	5	286
2	7	256
3	9	223
4	10	204
5	12	193
6	13	185
7	15	178
8	17	174
9	18	170
10	20	167
11	22	161
12	23	158
13	25	155
14	26	151
15	28	148
16	29	145
17	31	142
18	32	139
19	34	137
20	36	135
21	37	134
22	39	132
23	41	130
24	42	128
25	44	126
26	46	124
27	47	121
28	49	120
29	50	117
30	52	116
31	53	114
32	55	112
33	56	110
34	58	108
35	59	106
36	61	104
37	63	103
38	64	101
39	66	99
40	68	97
41	68	94
42	70	93
43	72	91
44	73	89
45	75	88
46	76	86
47	78	84
48	79	83
49	81	81
50	83	79
51	84	77
52	86	76
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	95	66
59	96	64
60	98	62
61	100	61
62	101	59
63	102	57
64	104	56
65	106	54
66	108	53
67	109	51
68	111	49
69	112	48
70	114	46
71	115	45
72	117	43
73	119	41
74	121	40
75	123	38
76	124	37
77	126	35
78	127	33
79	128	32
80	130	30
81	131	28
82	133	27
83	135	25
84	137	24
85	138	22
86	140	21
87	142	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	152	9
94	153	8
95	155	6
96	156	4
97	157	3
98	159	1
99	160	0
